제목,장소,주소,기간,이미지url,상세url,세부장르,후기유무,줄거리,작품설명
요리하는 마술사 - 파주,맛있는 극장 2호점 (파주 프로방스 마술극장),경기도 파주시 탄현면 성동리 53-1,2020/10/03 ~ 2023/10/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/20/09/0400012009_160323_01.338.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007769,어린이/가족,X,줄거리 없음,작품설명 없음
아이좀비 - 부산,어댑터플레이스,부산광역시 수영구 광안해변로 193(광안동) 티파티타워 7층,2023/06/15 ~ 2023/09/24,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188797_01.327.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007297,연극,X,줄거리 없음,작품설명 없음
행오버 - 대구,송죽씨어터,대구 중구 화전동 11-1번지,2023/08/24 ~ 2023/10/09,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190538_01.832.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009405,연극,O,줄거리 없음,작품설명 없음
오늘부터 맑음 - 전주,전주 한옥마을아트홀,"전북 전주시 완산구 홍산북로 23-9,3층 (효자동 2가, 그레이스)",2023/08/25 ~ 2023/09/23,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191634_01.510.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010812,연극,X,줄거리 없음,작품설명 없음
코끼리들이 웃는다 - 고양,고양아람누리 새라새극장,경기도 고양시 일산동구 마두동 816 고양아람누리,2023/09/01 ~ 2023/09/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191895_01.856.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011128,연극,X,줄거리 없음,작품설명 없음
토피카페니아 - 부산,꿈팡팡624,부산 북구 구포동 북구창조문화활력센터,2023/09/01 ~ 2023/09/02,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192234_01.511.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011525,연극,X,줄거리 없음,작품설명 없음
드립 소년단,졸탄 극장,서울특별시 종로구 이화동 36-2 지하1층,2022/08/08 ~ 2023/10/09,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/07/0400012207_176849_01.817.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22008929,연극,X,줄거리 없음,작품설명 없음
요리하는 마술사 - 부천,부천소극장,경기도 부천시 중동로254번길 87(중동) 지하 1층 부천소극장,2023/04/22 ~ 2023/10/29,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/04/0400012304_187200_01.120.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23005341,어린이/가족,X,줄거리 없음,작품설명 없음
사과가 쿵 - 수원,KBS 수원아트홀,"경기도 수원시 인계로 123 (인계동,KBS수원아트홀",2023/08/12 ~ 2023/10/15,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189301_01.950.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007962,어린이/가족,X,줄거리 없음,작품설명 없음
썸머타임,씨어터 조이 (구 마당세실극장),서울 종로구 동숭동 192-18,2023/08/30 ~ 2023/09/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190864_01.928.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009776,연극,X,줄거리 없음,작품설명 없음
파우파우쇼,송파브이아트홀,서울특별시 송파구 오금로 513 (거여동) 지하1층 브이아트홀,2023/08/17 ~ 2023/10/01,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192040_01.842.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011311,어린이/가족,X,줄거리 없음,작품설명 없음
미래상상마술쇼,송파브이아트홀,서울특별시 송파구 오금로 513 (거여동) 지하1층 브이아트홀,2019/11/02 ~ 2023/12/31,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/19/10/0400011910_151118_0749.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19016369,어린이/가족,X,줄거리 없음,작품설명 없음
홍콩쇼,윤형빈소극장 (홍대),서울 마포구 서교동 364-31 B1(zara건물),2021/04/09 ~ 2023/09/22,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/21/03/0400012103_164238_01.044.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21002430,연극,X,줄거리 없음,"홍콩쇼
-더이상 혼자 상상하지 마라!
고품격 19금 성인 개그쇼!
내안에 음란마귀를 꺼내라!!
내숭은 잠시 접어두고 시원하게 웃자~~
오직 즐길줄 아는 당신을 위해 만든 개그공연
불금에 하는 홍대콩트쇼** 놀러오세요^^"
퍼스트 폴리오,해당공연 공연장,주소:,2022/04/28 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/01/0400012301_183795_01.144.gif,후기탭 없음,연극,X,"일년의 한 번씩 누군가의 초대로 한자리에 모이는 여인들은 21세기 맞는 옷차림과 헤어스타일로 잔뜩 멋을 부린 모습을 서로 칭찬하며 오랜만에 만난 즐거움에 회포를 풀기에 정신이 없는데 작년까지 함께 했던 햄릿의 여주인공 오필리어가 올해는 참석하지 않았다는걸 깨닫고
자신들은 어떤 기준으로 누구의 초대를 받아 매년 이렇게 모일 수 있는 것인지 근본적인 궁금증이 생기는데 별안간 그녀들 앞에 자신들이 창조한 셰익스피어가 나타나고 뜬금없는 이야기를 들려주는데….","작품의 기획의도
시대가 변하면서 독서의 흐름이나 선호하는 장르도 빠르게 바뀌는 현대 사회에서 요즘 학생들에게 어렵게 느껴지는 세익스피어의 작품을 토대로 청소년을 위한 창작 공연을 기획하게 된 이유는 셰익스피어 명작의 진면목과  진한 메시지 그리고 얼마나 흥미진진한 이야기가 많은지 알려주고 싶었기 때문이다.
제작 배경
창작뮤지컬 ‘퍼스트폴리오’는 셰익스피어 소설 속 여자 주인공들이 마치 재미있는 이야기를 들려주듯 친근하고 재미있게 자신의 이야기를 들려부면서 관객들로 하여금 웃음과 감동을 느낄 수 있도록 하는 뮤지컬이며 고층과 계승보다 현대화, 재해석에 초점을 두어 남녀노소 누구나 즐길 수 있는 밝고 행복한 이야기를 담았다,
작품의 특징 
공연을 본 관객들이 청소년 필독 도서목록에 필수적으로 포함되는 셰익스피어의 명작을 좀 더 쉽고 재미있게 이해하고 받아들여 관람후 자발적인 독서로 이어질 수 있도록 각 캐릭터를 잘 살린 작품이다."
살고지고,해오름 예술극장,서울 종로구 명륜동2가 21-1 명륜프라자 B1,2023/06/02 ~ 2023/09/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188690_01.420.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007104,연극,X,줄거리 없음,작품설명 없음
우르르 쾅쾅 먹구름이,성미산마을극장,서울 마포구 성산동 249-10,2023/08/31 ~ 2023/09/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191620_01.857.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010806,어린이/가족,X,줄거리 없음,작품설명 없음
고스트 인 더 씨어터,엔드트리 갤러리,서울특별시 강남구 신사동 653-20,2023/08/26 ~ 2023/09/01,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191700_01.317.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010901,연극,X,줄거리 없음,작품설명 없음
불나비,후암스테이지,서울특별시 종로구 명륜동4가 113-1 아트홀 스타시티,2023/08/29 ~ 2023/09/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191966_01.527.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011223,연극,X,줄거리 없음,작품설명 없음
1미터마술공연,매지클,서울특별시 강남구 삼성로61길 30 (대치동 933-17) 지하 1층,2018/12/15 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/18/12/0400011812_135965_01.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23000139,연극,X,줄거리 없음,작품설명 없음
가족사진 - 인천,부평 문화사랑방,인천 부평구 갈산2동 365-1,2023/09/01 ~ 2023/09/01,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191307_01.708.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010336,어린이/가족,X,줄거리 없음,작품설명 없음
협상1948 - 대전,아신극장,대전 중구 대흥동 159-1,2023/09/01 ~ 2023/09/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191800_01.837.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011023,연극,X,줄거리 없음,작품설명 없음
더블,온라인,주소:,2021/01/15 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/21/04/0400012104_164344_01.139.gif,후기탭 없음,온라인 연극,X,줄거리 없음,단 하나의 규칙：모든 사람은 자신이 말하는 자신의 실체와 같은 사람일 것
rin_test 2023,,주소정보없음,2023/01/20 ~ 2023/12/31,http://ticketimage.interpark.com/TicketImage/07playdb/noimg_160x200.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23000961,연극,X,줄거리 없음,작품설명 없음
보잉보잉 - 수원,KBS 수원아트홀,"경기도 수원시 인계로 123 (인계동,KBS수원아트홀",2023/06/24 ~ 2023/09/24,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189440_01.937.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008147,연극,X,줄거리 없음,작품설명 없음
과학에 빠진 마술사 - 수원,미리내마술극단 은하수홀,경기 수원시팔달구 인계동 334-1 수원청소년문화센터,2023/07/08 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189879_01.626.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008606,어린이/가족,X,줄거리 없음,작품설명 없음
지금해라 - 대전,작은극장 다함,대전광역시 동구 대전로448번길 70 (가오동),2023/08/31 ~ 2023/09/01,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192135_01.525.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011415,연극,X,줄거리 없음,작품설명 없음
rin test 0427,해당정보없음,주소:,2023/06/07 ~ 2023/12/31,http://ticketimage.interpark.com/TicketImage/07playdb/noimg_160x200.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23006133,연극,X,줄거리 없음,작품설명 없음
언플러그드 - 대전,,주소정보없음,2023/09/01 ~ 2023/10/15,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191278_01.304.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010246,연극,X,줄거리 없음,작품설명 없음
걸 스토리 콘서트,SMTOWN THEATRE,서울특별시 강남구 영동대로 513 SMTOWN@coexartium,2015/04/06 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/15/12/0400011512_87422_01.gif,후기탭 없음,콘서트,X,줄거리 없음,"소녀시대 윤아와 샤이니 민호가 출연하는 ‘GIRL STORY’는 로봇인 소녀가
감정을 갖게 되면서 사랑의 힘이 생긴다는 이야기의 영상과
홀로그램 콘서트가 함께 구성되어 공연의 재미를 한층 부각시켰다."
앱솔루트 쇼,더쇼씨어터,서울특별시 강동구 성내동 559-9 2층,2023/05/09 ~ 2023/12/31,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_187957_01.903.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23006280,콘서트,X,줄거리 없음,작품설명 없음
오만방자 전라감사 길들이기－전주,전주한벽문화관 혼례마당,전북 전주시 완산구 교동 7-1,2023/05/27 ~ 2023/10/14,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/04/0400012304_187842_01.848.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23006113,콘서트,X,줄거리 없음,작품설명 없음
로얄 살루트 황제쇼,더쇼씨어터,서울특별시 강동구 성내동 559-9 2층,2023/04/21 ~ 2024/12/31,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/04/0400012304_187507_01.355.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23005696,콘서트,X,줄거리 없음,작품설명 없음
루키즈 게임,홍대 DGBD,서울특별시 마포구 서교동 395-17,2011/01/29 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/13/10/0400011310_53971_01.gif,후기탭 없음,힙합/랩,X,줄거리 없음,"루키즈게임은 언더그라운드 힙합씬에서 활동하고있는 여러 크루들이 모여서
만든 ＇공연연합＇ 으로써 힙합을 기반으로 멋지고 신나는 무대를 만들어 보여드리고 있습니다.

루키즈게임의 주 활동 무대는 언더그라운드 힙합 공연과, 대학교축제,
페스티벌, 행사 등으로써 신나는 무대를 만들어 내는 데에 특화되어 있는 팀입니다.

루키즈게임은 다른 크루나, 가수와 달리 다양한 크루와 멤버들이
속해 있기 때문에 시간과 장소에 구애받지 않고 현장 분위기에
맞는 멋진 무대를 보여드릴 수 있습니다."
케이웨이브콘,케이터틀 컨벤션홀,서울특별시 마포구 백범로 23 케이터틀 2층 컨벤션홀,2023/03/02 ~ 2023/10/31,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/01/0400012301_183938_01.726.gif,후기탭 없음,콘서트,X,"“사계에 숨겨진 한류의 DNA를 찾아서”
세계를 선도하는 문화적 현상 한류의 정신(K-Spirit)과 사계절(K-Four Seasons)을
연결하고 한류의 DNA(K-DNA)를 들여다 볼 수 있는 특별한 콘서트

그대 안의 한류의 DNA를 찾아라!
당신 안의 한류의 DNA를 깨워라!
한국의 아름다움과 한류의 정신을 
우리만의 독특한 방식으로 풀어내는 유일한 콘서트,K웨이브콘;KwaveCON","첫째, 세계를 선도하는 현상, 한류의 정신(K-Spirit) 엿보기
둘째, 한류의 정신을 한류의 DNA(K-DNA)로 확장하기
셋째, 한류의 DNA와 한국의 사계절(K-Four Seasons) 연결하기"
스탠업코메디 콘서트,더쇼씨어터,서울특별시 강동구 성내동 559-9 2층,2023/03/03 ~ 2023/12/31,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/02/0400012302_185331_01.022.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23002793,콘서트,X,줄거리 없음,작품설명 없음
DJ 미스타리 디제잉 쇼,더쇼씨어터,서울특별시 강동구 성내동 559-9 2층,2023/03/15 ~ 2023/12/29,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/03/0400012303_185935_01.319.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23003540,콘서트,X,줄거리 없음,작품설명 없음
죠니워커 쇼,더쇼씨어터,서울특별시 강동구 성내동 559-9 2층,2023/04/27 ~ 2024/12/31,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/04/0400012304_187623_01.948.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23005839,콘서트,X,줄거리 없음,작품설명 없음
트롯투나잇 콘서트,부천실내체육관,경기 부천시원미구 중4동 1024,2023/09/01 ~ 2023/09/02,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192346_01.553.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011669,콘서트,X,줄거리 없음,작품설명 없음
주니엘 콘서트,무신사 개러지 (구.왓챠홀),서울특별시 마포구 잔다리로 32(서교동) 서문빌딩 B1,2023/09/01 ~ 2023/09/01,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192224_01.916.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011512,콘서트,X,줄거리 없음,작품설명 없음
10cm 콘서트 - 울산,CGV 울산삼산,울산광역시 남구 화합로 185(삼산동) 업스퀘어 5층,2023/09/01 ~ 2023/09/01,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190448_01.319.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009304,콘서트,X,줄거리 없음,작품설명 없음
김장훈 콘서트,연남스페이스,주소:,2023/09/01 ~ 2023/09/10,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191639_01.510.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010832,콘서트,X,줄거리 없음,작품설명 없음
부산 락킹 루키 쇼,KT&G 상상마당 라이브홀,서울 마포구 서교동 367-5,2023/09/01 ~ 2023/09/01,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191758_01.217.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010975,콘서트,X,줄거리 없음,작품설명 없음
"하루키, 음악으로 만나다 - 연천",연천수레울아트홀 대공연장,경기도 연천군 연천읍 문화로 150(옥산리 320),2023/09/01 ~ 2023/09/01,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191157_01.029.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010181,콘서트,X,줄거리 없음,작품설명 없음
부산인터내셔널 뮤직 페스타 - 부산,부산시민회관 대극장,부산 동구 범일2동 830-31번지,2023/09/01 ~ 2023/09/02,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188028_01.527.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23006266,콘서트,X,줄거리 없음,작품설명 없음
스탠딩 B구역 1부,한국소리문화의전당 전시장 옥상,전라북도 전주시 덕진구 덕진동1가 산1-1,2023/09/01 ~ 2023/09/02,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190826_01.604.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009696,콘서트,X,줄거리 없음,작품설명 없음
성동문화이음,성수아트홀,서울 성동구 성수동1가 656-323번지,2023/09/01 ~ 2023/09/01,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191842_01.140.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010877,콘서트,X,줄거리 없음,작품설명 없음
백현진 콘서트,세종문화회관 S씨어터,서울시 종로구 세종로 81-3,2023/09/01 ~ 2023/09/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188078_01.909.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=P0003449,콘서트,X,줄거리 없음,"영화관, 브라운관, 공연장, 갤러리를 종횡무진하는 올라운드 아티스트 백현진의 예측불가 짬뽕쑈

영화와 드라마, 공연과 전시를 통해 다양한 면모와 남다른 매력을 선보여온 아티스트 백현진이 그의 무궁무진한 창의력을 집약시킨 《백현진 쑈 : 공개방송》을 선보인다. 

장르와 경계라는 말이 무색하게 배우로, 가수로, 현대미술가로 자유롭게 스스로를 표현해온 백현진은 전제곤, 김오키, 이태훈을 포함한 국내 최정상급 세션들로 구성된 밴드 백현진씨(Bek Hyunjin C)를 통해 중독성 강한 사운드를 내보이고 이와 함께 영상, 설치미술, 스탠드업 코미디, 토막극(단막극보다 더 짧은 호흡의 콩트. 작가 명명), 인터뷰, 낭송 등이 공존하는 예측불가의 무대를 그려낸다.

이 공연은 문명과 생각과 감정에 관해 그가 그간 몰두했던 것들을 재료로 한 결과물로 무대에 펼쳐지는 모든 퍼포먼스는 마치 공개방송처럼 진행되고, 이 모든 과정은 영화감독 박경근에 의해 ‘백현진 쑈’라는 이름으로 기록될 예정이다. 공연 매 회차마다 그와 함께 작업했던 다른 배우들이 깜짝 출연 예정이며, 관객들은 어디에서도 볼 수 없었던 형식 속에서 오묘한 매력과 뜻밖의 재미를 발견하게 것이다. "
Non Fungible Technology 2023,코엑스 Hall E(구 장보고홀),서울 강남구 삼성1동 무역센터 코엑스(COEX),2023/09/01 ~ 2023/09/01,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192199_01.216.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011485,콘서트,X,줄거리 없음,작품설명 없음
