제목,장소,주소,기간,이미지URL,상세URL,세부장르,후기유무,이미지url,상세url,줄거리,작품설명
오마이갓,"대학로 오마이갓 전용관(구, 키득키득아트홀)",서울특별시 종로구 동숭동 128-5 지하2층,2023/04/22 ~ 2023/10/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/03/0400012303_186701_01.213.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23004562,연극,O,,,줄거리 없음,작품설명 없음
옆집사람,대학로 자유극장,서울 종로구 동숭동 1-45 자유빌딩 지하 2층(디자인 샾 텐바이텐 지하),2023/08/11 ~ 2023/10/29,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190781_01.416.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009643,연극,O,,,줄거리 없음,작품설명 없음
웨딩브레이커 - 광주,상무지구 기분좋은극장,광주광역시 서구 상무중앙로 90 대교빌딩 7층 (우리은행 상무점 건물),2023/09/01 ~ 2023/10/15,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191828_01.207.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011048,연극,O,,,줄거리 없음,작품설명 없음
죽어야 사는 남자,업스테이지,서울특별시 종로구 동숭길 41 (동숭동),2022/05/01 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/04/0400012204_174002_01.340.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22004587,연극,O,,,줄거리 없음,작품설명 없음
딜리버리,대학로 아티스탄홀,서울 종로구 동숭동 1-35 아티스탄홀,2023/03/10 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/02/0400012302_184881_01.437.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23001991,연극,O,,,줄거리 없음,작품설명 없음
비누향기,서연아트홀(구 인아소극장),서울 종로구 명륜동2가 21-10,2021/07/10 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/21/07/0400012107_166679_01.452.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21007446,연극,O,,,줄거리 없음,작품설명 없음
나의 PS 파트너,아트포레스트 아트홀 2관,서울특별시 종로구 동숭동 1-66,2023/03/03 ~ 2023/10/01,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/02/0400012302_184867_01.538.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23002001,연극,O,,,줄거리 없음,작품설명 없음
택시 안에서,해바라기 소극장,서울시 종로구 동숭길 76 지하1층(동숭동).,2018/10/12 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/18/10/0400011810_132202_01.510.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18013732,연극,O,,,줄거리 없음,작품설명 없음
북극곰 예술여행,북극곰소극장,서울특별시 종로구 이화장1길 24 (이화동) 북극곰 소극장,2019/07/20 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/19/06/0400011906_144725_01.713.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19009496,어린이/가족,O,,,줄거리 없음,작품설명 없음
카지노,"대학로 스타시티 카지노 전용관(구, 타이니앨리스)",서울특별시 종로구 명륜동4가 113-1 아트홀 스타시티,2023/04/28 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/04/0400012304_187326_01.015.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23005252,연극,O,,,줄거리 없음,작품설명 없음
극적인 하룻밤,"JS아트홀(구,고스트씨어터)",서울특별시 종로구 동숭동 25-11,2023/07/26 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189913_01.310.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008636,연극,O,,,줄거리 없음,작품설명 없음
리미트,JTN 아트홀 2관,서울 종로구 이화동 139번지 JTN아트홀,2018/08/08 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/18/07/0400011807_129148_0517.553.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21009138,연극,O,,,줄거리 없음,작품설명 없음
자취,댕로홀 (구.두레홀 1관),서울시 종로구 동숭동 1-78번지 마로니 빌딩 지하,2020/02/28 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/21/01/0400012101_162767_01.851.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21007488,연극,O,,,줄거리 없음,작품설명 없음
핫 식스,도토리씨어터,서울특별시 종로구 동숭동 1-89 지하2층,2023/04/03 ~ 2023/10/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/03/0400012303_185983_01.544.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23003616,연극,O,,,줄거리 없음,작품설명 없음
크리미널,봄날아트홀 (구.대학로 아리랑 소극장),서울 종로구 동숭동 1-153 지하2층,2017/02/01 ~ 2023/10/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/17/01/0400011701_103631_0238.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17000544,연극,O,,,줄거리 없음,작품설명 없음
두 여자,스카이씨어터,서울특별시 종로구 동숭동 1-48,2023/01/27 ~ 2023/10/01,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/01/0400012301_183867_01.440.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23000789,연극,O,,,줄거리 없음,작품설명 없음
나의 PS 파트너 - 대전,이수아트홀,대전 탄방동 748번지 정우빌딩 지하1층,2023/07/15 ~ 2023/09/24,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189441_01.814.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008149,연극,O,,,줄거리 없음,작품설명 없음
패스 - 부산,영화의전당 하늘연극장,부산광역시 해운대구 수영강변대로 120,2023/09/06 ~ 2023/09/07,,,연극,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190468_01.339.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009332,줄거리 없음,작품설명 없음
엄마의 레시피,대학로 공간 아울,서울 종로구 동숭동 1-27,2023/08/15 ~ 2023/09/24,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191938_01.326.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011191,연극,O,,,"1946년 3월, “경평대항축구전” 으로 우린 다시 하나가 된다!

해방 이후 38선에 의해 남북 분단으로 통행이 금지된 불안한 상황 속 경평과 평양의 청춘들은 민족의 평화와 화합을 위해 목숨 걸고 38선을 넘어 만난다. 전 국민의 뜨거운 관심을 받으며 시작된 청춘들의 축구대항전!

지고 있던 경성군에게 동점의 기회가 찾아오지만 한강산은 평양군의 응원단 백지연을 보느라 놓치게 되고 경기는 평양군의 승리로 마무리 된다. 그날 밤, 소련은 “38선, 남북 간 왕래금지조치강화”를 공포하고 북으로 돌아간 백지연 생각에 잠을 이루지 못하던 한강산은 축구팀원들과 북으로 향하게 되고 다시 만난 두사람은 사랑을 이루려 하지만 두 집안의 악연으로 인해 점점 어려움에 부딪히는데....","해방공간, 역사 뒤편에 숨겨진 청춘들의 열정과 이루어질 수 없는 사랑을 그린 축구연극
일제강점기 경성과 평양의 청춘들은 민족화합과 조선의 평화를 위해 1929년부터 경성과 평양을 오가며 친선 축구 경기인 “경평대항축구전”을 진행하지만, 얼마 되지 않아 일제의 구기 종목 금지로 인해 이어지지 못했다.

1945년 8월, 그토록 원하던 민족의 해방, 대한이 독립했다. 

해방의 기쁨도 잠시, 보이지도 않는 38선에 의해 남과 북으로 나뉘어 대립하는 상황이 계속되며 한반도에 다시 어둠의 그림자가 드리워진다. 하지만, 불안한 한반도의 상황도 축구공처럼 어디로 튈지 모르는 청춘들의 뜨거운 열정과 사랑은 막을 수가 없었다.

1946년 3월, 남과 북의 청춘들은 “경평대항축구전”을 11년 만에 다시 개최한다. 

연극는 여기서부터 시작된다.
내일을 꿈꿀 수 없었던 해방공간, 그 짙은 어둠 속에서 빛을 향해가는 역사 뒤편에 숨겨진 청춘들의 열정과 치열한 사랑을 유쾌하게 그리며 평화와 화합의 메시지를 전하고자 한다."
택시 안에서 - 부산,부산 해바라기 소극장,주소:,2019/03/01 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/19/01/0400011901_137782_0818.230.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19001540,연극,O,,,줄거리 없음,작품설명 없음
끝까지 간다,북극곰소극장,서울특별시 종로구 이화장1길 24 (이화동) 북극곰 소극장,2019/12/24 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/19/12/0400011912_153666_0307.059.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19018979,연극,O,,,줄거리 없음,작품설명 없음
망원동 브라더스,제이엘씨어터,서울시 마포구 어울마당로 94-8 지하1층 제이엘씨어터,2023/04/08 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/03/0400012303_185882_01.533.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23003459,연극,O,,,줄거리 없음,"그림책을 읽어주는 극단 “북(BOOK)극곰 예술여행” 배우들은 낮에는 북극곰, 저녁에는 비극 햄릿을 레파토리 극으로 운영하고 있다.
하지만 5년간 바뀌지 않는 레파토리에 싫증이 나는 배우 영현, 낭만으로 사는 배우 경구, 그리고 이제 막 대학을 졸업하고 대학로에 진출한 열정 넘치는 배우 준호.
가난한 무명의 세 배우가 이런 저런 이야기를 하며 공연을 준비한다. 그러나 공연 시작 후 관객은 오지 않고 지쳐버린다. 배우들은 타오르는 촛불을 보며 다양한 추억에 잠기던 낭만은 무대 위에서의 화려한 배우의 삶과 다르게 또 다시 가난한 연극배우의 처절한 현실로 돌아가게 된다. 한창 수다를 떨던 중 갑자기 뜬금없이 단체관람객이 공연을 보러 오는데... 절체절명의 위기! 과연 이들은 공연은 무사히 마칠 수 있을까. 나는 배우다. “끝까지간다”"
두 여자 - 대구,하모니아 아트홀(동성로극장),대구시 중구 동성로3가 120-21번지,2022/07/09 ~ 2023/10/31,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/06/0400012206_176472_01.039.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22008371,연극,O,,,줄거리 없음,작품설명 없음
보잉보잉 - 수원,KBS 수원아트홀,"경기도 수원시 인계로 123 (인계동,KBS수원아트홀",2023/06/24 ~ 2023/09/24,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189440_01.937.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008147,연극,O,,,줄거리 없음,작품설명 없음
졸탄쇼,졸탄 극장,서울특별시 종로구 이화동 36-2 지하1층,2021/07/04 ~ 2023/10/11,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/21/06/0400012106_166041_01.852.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21005281,연극,O,,,줄거리 없음,작품설명 없음
한뼘사이 - 울산,CK아트홀,울산 남구 달동 590-14,2023/08/01 ~ 2023/09/17,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189358_01.218.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008059,연극,O,,,줄거리 없음,작품설명 없음
행오버 - 대구,송죽씨어터,대구 중구 화전동 11-1번지,2023/08/24 ~ 2023/10/09,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190538_01.832.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009405,연극,O,,,줄거리 없음,작품설명 없음
그곳에 있었다,댕로홀 (구.두레홀 1관),서울시 종로구 동숭동 1-78번지 마로니 빌딩 지하,2023/09/01 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192419_01.728.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011769,연극,O,,,줄거리 없음,작품설명 없음
드립 소년단,졸탄 극장,서울특별시 종로구 이화동 36-2 지하1층,2022/08/08 ~ 2023/10/09,,,연극,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/07/0400012207_176849_01.817.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22008929,줄거리 없음,작품설명 없음
대화,홍해성 소극장,서울 종로구 동숭동 128-16,2023/06/17 ~ 2023/11/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188779_01.325.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007275,연극,O,,,줄거리 없음,작품설명 없음
수상한 흥신소,소극장 선물,서울특별시 종로구 동숭동 1-36,2023/06/28 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189921_01.448.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008639,연극,O,,,줄거리 없음,작품설명 없음
잘못된 성장의 사례,두산아트센터 Space111,서울특별시 종로구 연지동 270 연강빌딩,2023/09/05 ~ 2023/09/23,,,연극,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191844_01.142.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22017871,줄거리 없음,작품설명 없음
우리 엄마 - 삼척,삼척문화예술회관,강원도 삼척시 성남동 1-5,2023/09/06 ~ 2023/09/07,,,연극,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192713_01.151.gif,후기탭 없음,줄거리 없음,작품설명 없음
요리하는 마술사,Mr. 맛있는 극장,서울 종로구 혜화동 109-4 지하 1층,2020/10/03 ~ 2023/10/29,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/20/09/0400012009_160317_01.105.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007770,어린이/가족,O,,,"우리 엄마는 가난합니다.
우리 엄마는 다리가 불편합니다.
우리 엄마는 간장에 밥을 먹습니다.
우리 엄마는 시장 길거리에서 생선을 팝니다.
우리 엄마는 화도 내지 않습니다.
우리 엄마는 수학여행 가는 저를 위해 가방,옷,신발을 샀습니다.
전 지금 집에서 엄마를 기다립니다.
그리고 엄마에게 전화를 걸어봅니다.
“엄마....”","우리 모두에겐 사랑하는 사람들이 있습니다.
우리들의 엄마이고 아빠고 오빠 또는 누나이며 연인입니다.
함께 있을 땐 너무 가까워 볼 수없었던 것과 느낄 수 없었던 것들이
빈자리가 생겼을때 결국 보이고 느껴집니다.
우린 그걸 알면서도 지나치며 살아갑니다.
한번이라도 다시 돌아갈 기회가 있으리라 기대하지만
시간은 두 번 다시 돌아가지않습니다.
무겁지 않게 가볍지도 않게
정서의 힘 안에 유쾌한 일상들을 실어봅니다.
그리고 지금 우린 지나간 그 시간을 만나러 갑니다."
새빨간 거짓말 - 부산,부산 메트로홀 (구.AN아트홀 광안),부산 수영구 광안동 473-2 광안지하철역 지하1층 상가1호 (구 AN아트홀 광안),2023/06/23 ~ 2023/09/10,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/04/0400012304_187500_01.358.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23005687,연극,O,,,줄거리 없음,작품설명 없음
파우파우쇼,송파브이아트홀,서울특별시 송파구 오금로 513 (거여동) 지하1층 브이아트홀,2023/08/17 ~ 2023/10/01,,,어린이/가족,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192040_01.842.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011311,줄거리 없음,작품설명 없음
베르나르다 알바의 집 - 부산,꿈팡팡624,부산 북구 구포동 북구창조문화활력센터,2023/09/05 ~ 2023/09/06,,,연극,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192236_01.847.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011528,줄거리 없음,작품설명 없음
홍콩쇼,윤형빈소극장 (홍대),서울 마포구 서교동 364-31 B1(zara건물),2021/04/09 ~ 2023/09/22,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/21/03/0400012103_164238_01.044.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21002430,연극,O,,,줄거리 없음,작품설명 없음
달동네 - 부산,초콜릿 팩토리,부산 남구 대연3동 72-7번지 산암빌딩 지하,2022/04/28 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/04/0400012204_173915_01.916.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22004566,연극,O,,,줄거리 없음,"홍콩쇼
-더이상 혼자 상상하지 마라!
고품격 19금 성인 개그쇼!
내안에 음란마귀를 꺼내라!!
내숭은 잠시 접어두고 시원하게 웃자~~
오직 즐길줄 아는 당신을 위해 만든 개그공연
불금에 하는 홍대콩트쇼** 놀러오세요^^"
퍼스트 폴리오,해당공연 공연장,주소:,2022/04/28 ~ 오픈런,,,연극,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/01/0400012301_183795_01.144.gif,후기탭 없음,줄거리 없음,작품설명 없음
크리미널,봄날아트홀 2관,서울 종로구 동숭동 1-153 지하2층,2023/06/15 ~ 2023/10/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189263_01.339.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007900,연극,O,,,"일년의 한 번씩 누군가의 초대로 한자리에 모이는 여인들은 21세기 맞는 옷차림과 헤어스타일로 잔뜩 멋을 부린 모습을 서로 칭찬하며 오랜만에 만난 즐거움에 회포를 풀기에 정신이 없는데 작년까지 함께 했던 햄릿의 여주인공 오필리어가 올해는 참석하지 않았다는걸 깨닫고
자신들은 어떤 기준으로 누구의 초대를 받아 매년 이렇게 모일 수 있는 것인지 근본적인 궁금증이 생기는데 별안간 그녀들 앞에 자신들이 창조한 셰익스피어가 나타나고 뜬금없는 이야기를 들려주는데….","작품의 기획의도
시대가 변하면서 독서의 흐름이나 선호하는 장르도 빠르게 바뀌는 현대 사회에서 요즘 학생들에게 어렵게 느껴지는 세익스피어의 작품을 토대로 청소년을 위한 창작 공연을 기획하게 된 이유는 셰익스피어 명작의 진면목과  진한 메시지 그리고 얼마나 흥미진진한 이야기가 많은지 알려주고 싶었기 때문이다.
제작 배경
창작뮤지컬 ‘퍼스트폴리오’는 셰익스피어 소설 속 여자 주인공들이 마치 재미있는 이야기를 들려주듯 친근하고 재미있게 자신의 이야기를 들려부면서 관객들로 하여금 웃음과 감동을 느낄 수 있도록 하는 뮤지컬이며 고층과 계승보다 현대화, 재해석에 초점을 두어 남녀노소 누구나 즐길 수 있는 밝고 행복한 이야기를 담았다,
작품의 특징 
공연을 본 관객들이 청소년 필독 도서목록에 필수적으로 포함되는 셰익스피어의 명작을 좀 더 쉽고 재미있게 이해하고 받아들여 관람후 자발적인 독서로 이어질 수 있도록 각 캐릭터를 잘 살린 작품이다."
과학에 빠진 마술사 - 수원,미리내마술극단 은하수홀,경기 수원시팔달구 인계동 334-1 수원청소년문화센터,2023/07/08 ~ 2023/09/30,,,어린이/가족,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189879_01.626.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008606,줄거리 없음,작품설명 없음
내일은 내일에게,초록씨어터,서울특별시 종로구 대학로 128 (동숭동) 21세기빌딩 5층,2023/07/29 ~ 2023/10/29,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189886_01.727.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008468,연극,O,,,줄거리 없음,작품설명 없음
rin test 0427,해당정보없음,주소:,2023/06/07 ~ 2023/12/31,,,연극,X,http://ticketimage.interpark.com/TicketImage/07playdb/noimg_160x200.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23006133,줄거리 없음,작품설명 없음
연애하기 좋은 날 - 대구,대구 여우별아트홀(구.브로드웨이아트홀),대구 중구 삼덕동1가 15-1 자이유 쇼핑몰 4F,2023/08/04 ~ 2023/09/24,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_190261_01.530.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009085,연극,O,,,줄거리 없음,작품설명 없음
참기름아저씨,대학로 드림시어터,서울 종로구 동숭동 1-63 지하1층,2023/08/18 ~ 2023/09/17,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191287_01.219.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010341,연극,O,,,줄거리 없음,작품설명 없음
오늘부터 맑음 - 전주,전주 한옥마을아트홀,"전북 전주시 완산구 홍산북로 23-9,3층 (효자동 2가, 그레이스)",2023/08/25 ~ 2023/09/23,,,연극,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191634_01.510.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010812,줄거리 없음,작품설명 없음
고쳐서 나가는 곳,연극실험실 혜화동 1번지,서울 종로구 혜화동 88-1 지하 1층,2023/09/01 ~ 2023/09/10,,,연극,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192031_01.828.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011212,줄거리 없음,작품설명 없음
"코미디의맛, 쇼미더퍼니",윤형빈소극장 (홍대),서울 마포구 서교동 364-31 B1(zara건물),2015/12/05 ~ 오픈런,,,연극,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/15/11/0400011511_86491_01007.456.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23003529,줄거리 없음,작품설명 없음
